workflow_id	task_name	cpus	memory	disk	duration	cost
aee09d7d-2326-456c-9ea4-6e35d858b7b7	bamToFastq	2	10GB	40GB	20.15h	$0.51
aee09d7d-2326-456c-9ea4-6e35d858b7b7	salmon_paired_reads	10	64GB	80GB	0.76h	$0.10
63b513dd-86cd-4b4a-9053-00ac21e7a46e	bamToFastq	2	10GB	40GB	25.72h	$0.66
63b513dd-86cd-4b4a-9053-00ac21e7a46e	salmon_paired_reads	10	64GB	80GB	2.20h	$0.30
9fa6a7bd-8d00-4915-bfe4-a87dafe75379	bamToFastq	2	10GB	40GB	37.90h	$0.97
55af9821-7915-4f14-b06c-985017b96a89	bamToFastq	2	10GB	40GB	20.75h	$0.53
55af9821-7915-4f14-b06c-985017b96a89	salmon_paired_reads	10	64GB	80GB	2.10h	$0.28
2c228100-a757-4ec0-aea2-56b79323bec6	bamToFastq	2	10GB	40GB	7.86h	$0.20
2c228100-a757-4ec0-aea2-56b79323bec6	salmon_paired_reads	10	64GB	80GB	7.92h	$1.06
276ae656-0e08-427d-89a9-bdf0cfaca79a	bamToFastq	2	10GB	40GB	32.43h	$0.83
276ae656-0e08-427d-89a9-bdf0cfaca79a	salmon_paired_reads	10	64GB	80GB	2.75h	$0.37
276ae656-0e08-427d-89a9-bdf0cfaca79a	salmon_paired_reads	10	64GB	80GB	1.69h	$0.23
c55361b3-06b5-4ca4-b97f-f6cb6c5c30d8	bamToFastq	0	0GB	0GB	0.00h	$0.00
c55361b3-06b5-4ca4-b97f-f6cb6c5c30d8	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
1a2e5718-08ec-42c2-8f44-7ddc1408a2a2	bamToFastq	0	0GB	0GB	0.00h	$0.00
1a2e5718-08ec-42c2-8f44-7ddc1408a2a2	salmon_paired_reads	0	0GB	0GB	0.00h	$0.00
fb3460c0-8ef1-4b5c-bc10-28595ebae370	bamToFastq	2	10GB	40GB	32.94h	$0.84
69873c1b-5a42-477f-9c8d-a8c5222402e6	bamToFastq	2	10GB	40GB	15.88h	$0.41
69873c1b-5a42-477f-9c8d-a8c5222402e6	salmon_paired_reads	10	64GB	80GB	2.94h	$0.39
7614edf6-0278-41c5-b348-f3d6d5724f2b	bamToFastq	2	10GB	40GB	37.22h	$0.95
7614edf6-0278-41c5-b348-f3d6d5724f2b	salmon_paired_reads	10	64GB	80GB	2.19h	$0.29
cd790113-1366-4ee2-8d5d-a8fa04a80518	bamToFastq	2	10GB	40GB	2.56h	$0.07
de81b9bd-159c-4449-a6cc-147474133954	bamToFastq	2	10GB	40GB	14.02h	$0.36
de81b9bd-159c-4449-a6cc-147474133954	salmon_paired_reads	10	64GB	80GB	0.78h	$0.10
62d534ff-4659-4f1a-85ce-d3f70bcef4cd	bamToFastq	2	10GB	40GB	9.82h	$0.25
62d534ff-4659-4f1a-85ce-d3f70bcef4cd	salmon_paired_reads	10	64GB	80GB	0.90h	$0.12
62d534ff-4659-4f1a-85ce-d3f70bcef4cd	salmon_paired_reads	10	64GB	80GB	0.64h	$0.09
d527e1f8-f3e0-4a38-9cde-a76d1746924c	bamToFastq	2	10GB	40GB	20.36h	$0.52
